"participantID","block","randomSeed","letterSeparation","letterEccentricity","itemRate","condition","expDegrees","letterOrder1","target1","response1","responseLetter1","RT1","letterOrder2","target2","response2","responseLetter2","RT2","endTime","resp1otherStream","resp2otherStream","condName","oneQueriedFirst"
"AR","2",210880.5,8.485281,6,8,"3","0,180","5,17,14,10,9,2,24,16,3,19,20,18,6,21,13,15,4,23,1,12,7,11,22,8","14",20,"12","2.38742122100666","2,11,16,21,24,5,12,15,20,17,19,6,9,22,1,4,13,14,10,3,23,7,18,8","14",14,"22","4.80385421589017",736193.6,7,23,"Inverted",FALSE
"AR","2",210880.5,8.485281,6,8,"3","0,180","9,4,5,13,21,23,19,10,18,14,6,16,11,8,20,12,3,1,15,17,2,22,24,7","7",8,"10","2.96526115201414","7,8,21,23,10,18,2,12,4,9,11,22,3,1,19,17,15,13,16,24,14,5,6,20","7",8,"12","6.83799958182499",736193.6,5,16,"Inverted",FALSE
"AR","2",210880.5,8.485281,6,8,"3","0,180","13,1,12,15,18,14,22,8,9,7,4,16,3,2,17,21,19,5,20,23,6,11,24,10","16",3,"12","5.45812454493716","3,8,10,13,1,7,12,11,22,15,2,5,17,6,4,21,16,18,9,20,23,19,14,24","16",7,"12","3.83394980593584",736193.6,7,3,"Inverted",TRUE
"AR","2",210880.5,8.485281,6,8,"3","0,180","23,1,18,2,19,13,14,16,8,4,20,11,7,21,9,24,6,17,15,3,10,5,22,12","7",8,"16","3.41441185586154","11,4,19,10,7,23,3,22,8,17,6,12,15,14,21,13,9,24,16,20,5,2,18,1","7",13,"15","6.08671989990398",736193.6,19,19,"Inverted",FALSE
"AR","2",210880.5,8.485281,6,8,"3","0,180","7,9,21,22,5,8,17,3,16,24,14,6,23,13,20,4,1,10,19,18,12,15,11,2","9",9,"16","4.09123192401603","14,6,22,3,5,13,1,21,11,24,18,20,23,7,16,12,4,10,9,2,17,15,8,19","9",10,"24","2.22008012305014",736193.6,15,10,"Inverted",TRUE
"AR","2",210880.5,8.485281,6,8,"3","0,180","24,3,10,13,2,18,4,7,14,21,15,5,23,9,16,6,11,8,22,19,1,17,12,20","11",11,"15","2.10753834317438","15,4,8,24,23,12,16,2,18,17,7,19,11,1,10,22,14,21,9,3,13,5,6,20","11",11,"7","7.18757198215462",736193.6,1,8,"Inverted",FALSE
"AR","2",210880.5,8.485281,6,8,"3","0,180","10,9,15,2,1,17,23,7,4,3,19,20,12,14,13,24,8,16,22,5,21,6,11,18","11",23,"11","9.76024825498462","20,14,12,19,9,18,8,10,3,7,2,11,13,5,6,1,15,4,24,16,22,21,23,17","11",11,"2","2.74435552186333",736193.6,12,4,"Inverted",TRUE
"AR","2",210880.5,8.485281,6,8,"3","0,180","10,21,11,14,19,3,9,5,7,16,20,12,1,4,15,24,8,6,22,17,2,18,13,23","14",14,"4","7.01668318593875","19,17,22,8,9,6,20,18,15,2,10,24,7,11,5,23,14,16,12,1,3,21,13,4","14",14,"11","5.37850948609412",736193.6,24,3,"Inverted",TRUE
"AR","2",210880.5,8.485281,6,8,"3","0,180","14,11,24,12,21,5,19,1,8,22,6,16,3,17,18,23,13,2,9,10,15,20,4,7","16",4,"12","3.53981339302845","3,22,5,6,2,23,19,1,24,14,12,7,15,8,21,9,17,20,13,16,11,10,4,18","16",16,"9","8.15568840620108",736193.6,11,19,"Inverted",FALSE
"AR","2",210880.5,8.485281,6,8,"1","0,180","23,8,19,16,4,18,20,5,17,21,11,3,1,9,10,22,15,12,13,14,2,7,24,6","17",17,"15","1.96535051800311","1,23,17,13,5,2,3,11,7,21,14,6,16,15,10,22,4,12,24,20,9,18,8,19","17",18,"12","6.78941348707303",736193.6,14,18,"Canonical",FALSE
